section,step name,step location,config location,enable,argument
setup,,,,,
,hello world,F:\test sequencer\demo script\hello-world-python.py,,TRUE,
,wait3sec,F:\test sequencer\demo script\wait_3_seconds.py,,TRUE,
,config ps,,,FALSE,
,config digitizer,,,FALSE,
,config scope,,,FALSE,
,config dmm,,,FALSE,
,config fpga,,,FALSE,
Test,,,,,
,master trigger,F:\test sequencer\demo script\master_trigger.py,,TRUE,
,wait until,,,FALSE,5
,config ps,,,FALSE,
,wait until,,,FALSE,10
,read digitzer,,,FALSE,
,wait until,,,FALSE,15
,wait3sec,F:\test sequencer\demo script\wait_3_seconds.py,,TRUE,
Cleanup,,,,,
,close PS,,,FALSE,
,close digitizer,,,FALSE,
,close scope,,,FALSE,
,close dmm,,,FALSE,
,close fpga,,,FALSE,
,process digitzer,,,FALSE,
,process scope,,,FALSE,
,process dmm,,,FALSE,
,process fpga,,,FALSE,
,combine tdms file,,,FALSE,
,post data process,,,FALSE,
,open viewer,,,FALSE,
,write tdms,F:\test sequencer\demo script\write_tdms.py,,TRUE,
,wait3sec cu,F:\test sequencer\demo script\wait_3_seconds.py,,TRUE,
